Date : 2020-09-25 15:59:53
Directory : /home/mathnoob/Documents/GameExchange/App and Server/GameExchange
Total : 180 files,  13012 codes, 263 comments, 816 blanks, all 14091 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/components/product_image.dart              | Dart       |         38 |          0 |          5 |         43 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/details_screen.dart                        | Dart       |         78 |          0 |          4 |         82 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/forgetPassword/commponent/body.dart                | Dart       |        152 |          0 |          8 |        160 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/forgetPassword/forgetPassword.dart                 | Dart       |         39 |          0 |          3 |         42 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/login/components/utilities.dart                    | Dart       |         11 |          0 |          3 |         14 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/login/login_screen.dart                            | Dart       |        417 |          0 |         15 |        432 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/main/components/body.dart                          | Dart       |        163 |          2 |         10 |        175 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/main/components/category.dart                      | Dart       |         87 |          3 |          4 |         94 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/main/components/product_list.dart                  | Dart       |        107 |          8 |          5 |        120 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/main/components/utilities.dart                     | Dart       |         14 |          2 |          4 |         20 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/main/main_screen.dart                              | Dart       |        137 |          0 |          4 |        141 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/own_details/components/body.dart                   | Dart       |        104 |          2 |          4 |        110 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/own_details/components/chat_and_add_to_cart.dart   | Dart       |         50 |          0 |          5 |         55 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/own_details/components/color_dots.dart             | Dart       |         33 |          2 |          3 |         38 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/own_details/components/list_of_colors.dart         | Dart       |         34 |          0 |          3 |         37 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/own_details/components/product_image.dart          | Dart       |         37 |          1 |          5 |         43 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/own_details/details_screen.dart                    | Dart       |         66 |          0 |          5 |         71 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/own_post/components/body.dart                      | Dart       |        151 |          2 |          9 |        162 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/own_post/components/myProductCard.dart             | Dart       |        105 |          8 |          4 |        117 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/own_post/components/utilities.dart                 | Dart       |         14 |          2 |          4 |         20 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/own_post/own_posts.dart                            | Dart       |         71 |          0 |          6 |         77 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/profile/profile.dart                               | Dart       |        255 |          0 |          8 |        263 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/profile_setting/commponent/body.dart               | Dart       |        280 |          0 |         14 |        294 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/profile_setting/profileSetting.dart                | Dart       |         39 |          0 |          3 |         42 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/search/search_box.dart                             | Dart       |         85 |          0 |          6 |         91 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/setting/setting_screen.dart                        | Dart       |        135 |          0 |          5 |        140 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/signUp/signUp.dart                                 | Dart       |        407 |          0 |         14 |        421 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/splash/splash_screen.dart                          | Dart       |         36 |          0 |          3 |         39 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/terms_and_rule/terms.dart                          | Dart       |         65 |          0 |          4 |         69 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/theme/style.dart                                          | Dart       |         81 |          0 |          3 |         84 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/theme/theme_controller.dart                               | Dart       |         25 |          0 |          3 |         28 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/pubspec.yaml                                                  | YAML       |         64 |         71 |         16 |        151 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/serverSide/chat_active.html                                   | HTML       |          3 |          0 |          0 |          3 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/serverSide/package-lock.json                                  | JSON       |        948 |          0 |          1 |        949 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/serverSide/package.json                                       | JSON       |         26 |          0 |          1 |         27 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/serverSide/server.js                                          | JavaScript |         54 |         10 |          6 |         70 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/test/assets/file/post.json                                    | JSON       |          1 |          0 |          0 |          1 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/test/assets/files/post.json                                   | JSON       |          1 |          0 |          0 |          1 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/test/crud_tests/file_manager_test.dart                        | Dart       |         17 |          1 |          3 |         21 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/test/crud_tests/firestore_crud_test.dart                      | Dart       |         48 |          5 |         17 |         70 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/test/crud_tests/post_crud_test.dart                           | Dart       |         64 |          3 |          3 |         70 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/test/crud_tests/search_manager_test.dart                      | Dart       |         91 |          6 |          3 |        100 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/test/crud_tests/userVote_test.dart                            | Dart       |         36 |          2 |          6 |         44 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/test/firebase_mock/dependency_injection_mock.dart             | Dart       |         89 |          5 |          3 |         97 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/test/firebase_mock/firebase_manager_mock.dart                 | Dart       |        114 |          0 |         15 |        129 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/test/widget_test.dart                                         | Dart       |          1 |          6 |          1 |          8 |
| Total                                                                                                                           |            |     13,012 |        263 |        816 |     14,091 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
